customerGroupId,STYLECODE,PRODUCT_NAME,COMPOSITION,FABRIC,SIZE_RANGE,COLOURS_COUNT,SHORT_DESCRIPTION,BOX_QTY,PRICE,BASE_SALE_PRICE,TIER_10_TO_49_PRICE,TIER_50_TO_99_PRICE,TIER_100_PLUS_PRICE,CATEGORY,CATEGORY_SORT,Unnamed: 12,Cost + GST,Times 1.5
3,4072,Wo's Classic Crop Tee,100% Combed Cotton (Marles 15% Viscose),220 GSM,,,Regular Fit - 220 GSM,72,10.25,21.27,19.14,17.02,15.95,WOMEN'S T-SHIRTS,7000,,11.275,16.9125
3,4073,Wo's Classic L/S Tee,100% Combed Cotton (Marles 15% Viscose),220 GSM,,,Regular Fit - 220 GSM,54,13.5,28.02,25.22,22.42,21.02,WOMEN'S LONGSLEEVES,8000,,14.85,22.275
3,4074,Wo's Organic Rib Baby Tee,100% Organic Cotton Rib,200 GSM,,,Slim Fit - 200 GSM,72,12.75,26.46,23.81,21.17,19.84,WOMEN'S T-SHIRTS,7000,,14.025,21.0375
3,4075,Wo's Organic Rib L/S Tee,100% Organic Cotton Rib,200 GSM,,,Slim Fit - 200 GSM,66,15.95,33.1,29.79,26.48,24.83,WOMEN'S LONGSLEEVES,8000,,17.545,26.3175
3,4079,Wo's Classic Minus Tee [5cm],100% Combed Cotton,220 GSM,,,5cm Shorter - 220 GSM,66,10.5,21.79,19.61,17.43,16.34,WOMEN'S T-SHIRTS,7000,,11.55,17.325
3,4080,Wo's Heavy Tee,100% Carded Cotton,280 GSM,,,Relaxed Fit - 280 GSM,66,12.5,25.94,23.35,20.75,19.46,WOMEN'S T-SHIRTS,7000,,13.75,20.625
3,4082,Wo's Heavy Faded Tee,100% Carded Cotton,240 GSM,,,Relaxed Fit - 240 GSM,66,12.5,25.94,23.35,20.75,19.46,WOMEN'S T-SHIRTS,7000,,13.75,20.625
3,4083,Wo's Heavy Faded L/S Tee,100% Carded Cotton,240 GSM,,,Relaxed Fit - 240 GSM,48,16.25,33.73,30.36,26.98,25.3,WOMEN'S LONGSLEEVES,8000,,17.875,26.8125
3,4085,Wo's Stone Wash Heavy Tee,100% Carded Cotton,220 GSM,,,Relaxed Fit - 220 GSM,66,13.75,28.54,25.69,22.83,21.4,WOMEN'S T-SHIRTS,7000,,15.125,22.6875
3,4086,Wo's Stone Wash Heavy Crop Tee,100% Carded Cotton,220 GSM,,,Relaxed Fit - 220 GSM,84,13.25,27.5,24.75,22.0,20.62,WOMEN'S T-SHIRTS,7000,,14.575,21.8625
