customerGroupId,STYLECODE,PRODUCT_NAME,COMPOSITION,FABRIC,SIZE_RANGE,COLOURS_COUNT,SHORT_DESCRIPTION,BOX_QTY,PRICE,BASE_SALE_PRICE,TIER_10_TO_49_PRICE,TIER_50_TO_99_PRICE,TIER_100_PLUS_PRICE,CATEGORY,CATEGORY_SORT
3,3010,Youth Barnard Tank,100% Combed Cotton (Marles 15% Viscose),150 GSM,,,Regular Fit - 150 GSM,108,6.25,15.72,14.15,12.58,11.79,KIDS T-SHIRTS,20000
3,3023,Kids Supply Track Pants,80% Cotton  20% Polyester Anti-Pill Fleece,290 GSM,,,Regular Fit - 290 GSM,30,13.75,34.59,31.13,27.67,25.94,KIDS PANTS/SHORTS,21000
3,3024,Youth Supply Track Pants,80% Cotton  20% Polyester Anti-Pill Fleece,290 GSM,,,Slim Fit - 290 GSM,30,14.75,37.11,33.4,29.69,27.83,KIDS PANTS/SHORTS,21000
3,3025,Kids Stadium Shorts,100% Cotton,320 GSM,,,Regular Fit - 320 GSM,72,11.25,28.3,25.47,22.64,21.22,KIDS PANTS/SHORTS,21000
3,3026,Youth Stadium Shorts,100% Cotton,320 GSM,,,Regular Fit - 320 GSM,42,13.25,33.33,30.0,26.66,25.0,KIDS PANTS/SHORTS,21000
3,3030,Kids Supply Crew,80% Cotton  20% Polyester Anti-Pill Fleece,290 GSM,,,Regular Fit - 290 GSM,36,11.75,29.56,26.6,23.65,22.17,KIDS SWEATSHIRTS,22000
3,3031,Youth Supply Crew,80% Cotton  20% Polyester Anti-Pill Fleece,290 GSM,,,Regular Fit - 290 GSM,24,12.75,32.08,28.87,25.66,24.06,KIDS SWEATSHIRTS,22000
3,3032,Kids Supply Hood,80% Cotton  20% Polyester Anti-Pill Fleece,290 GSM,,,Regular Fit - 290 GSM,24,14.75,37.11,33.4,29.69,27.83,KIDS SWEATSHIRTS,22000
3,3033,Youth Supply Hood,80% Cotton  20% Polyester Anti-Pill Fleece,290 GSM,,,Regular Fit - 290 GSM,24,15.75,39.62,35.66,31.7,29.71,KIDS SWEATSHIRTS,22000
3,3034,Kids Relax Crew,80% Cotton  20% Polyester Anti-Pill Fleece,320 GSM,,,Relaxed Fit - 320 GSM,36,15.75,39.62,35.66,31.7,29.71,KIDS SWEATSHIRTS,22000
