customerGroupId,STYLECODE,PRODUCT_NAME,COMPOSITION,FABRIC,SIZE_RANGE,COLOURS_COUNT,SHORT_DESCRIPTION,BOX_QTY,PRICE,CATEGORY,CATEGORY_SORT,Product URL
3,3062,Kids Classic L/S Tee,100% Combed Cotton (Marles 15% Viscose),220 GSM,,,Regular Fit - 220 GSM,66,7.75,KIDS LONGSLEEVES,21000,
3,3063,Youth Classic L/S Tee,100% Combed Cotton (Marles 15% Viscose),220 GSM,,,Regular Fit - 220 GSM,54,9.75,KIDS LONGSLEEVES,21000,
3,3070,Kids Heavy Faded Tee,100% Carded Cotton,240 GSM,,,Relaxed Fit - 240 GSM,108,8.75,KIDS T-SHIRTS,20000,
3,3071,Youth Heavy Faded Tee,100% Carded Cotton,240 GSM,,,Relaxed Fit - 240 GSM,90,10.75,KIDS T-SHIRTS,20000,
3,4001,Wo's Maple Tee,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,96,7.95,WOMEN'S T-SHIRTS,7000,
3,4001A,Wo's Maple Active Tee,100% Recycled Polyester,150 GSM,,,Regular Fit - 180 GSM,96,12.95,WOMEN'S T-SHIRTS,7000,
3,4001G,Wo's Maple Organic Tee,100% Organic Combed Cotton,180 GSM,,,Regular Fit - 180 GSM,96,8.25,WOMEN'S T-SHIRTS,7000,
3,4001M,Wo's Maple Marle Tee,80% Combed Cotton  20% Polyester,180 GSM,,,Regular Fit - 180 GSM,96,7.95,WOMEN'S T-SHIRTS,7000,
3,4006,Wo's Martina Tee,100% Combed Cotton,180 GSM,,,Relaxed Fit - 180 GSM,72,7.75,WOMEN'S T-SHIRTS,7000,
3,4007,Wo's Dash Racerback Tank,50% Cotton  50% Modal,140 GSM,,,Racerback - Light Weight,96,7.25,WOMEN'S SINGLETS / TANKS,7500,
3,4008,Wo's Mali Tee,100% Combed Cotton (Marles 15% Viscose),150 GSM,,,Regular Fit - 150 GSM,96,7.5,WOMEN'S T-SHIRTS,7000,
3,4009,Wo's Mali L/S Tee,100% Combed Cotton (Marles 15% Viscose),150 GSM,,,Scoop Neck - 150 GSM,72,9.5,WOMEN'S LONGSLEEVES,8000,
3,4011,Wo's Shallow Scoop Tee,100% Combed Cotton (Marles 15% Viscose),150 GSM,,,Regular Fit - 150 GSM,96,7.25,WOMEN'S T-SHIRTS,7000,
